dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,obj1,obj2,obj3
0.7894437909126282,0.5646427273750305,0.7887369990348816,0.3067094087600708,0.21975177526474,0.3574158251285553,0.717496931552887,0.9264625310897827,-1.4487748273230112,-3.4236916716644065e-25,-1.2281236604011236e-10
0.07853176444768906,0.06044055242091417,0.17462555039674044,0.8060557525604963,0.7206593481823802,0.586440172046423,0.36206209287047386,0.37236336059868336,-1.2910190853546195,-2.7535632015765644e-122,-6.4801948761453075e-111
0.4098886149004102,0.8919755574315786,0.6647018091753125,0.24067783541977406,0.8452762141823769,0.8993832329288125,0.9500411804765463,0.11286919843405485,-1.7255046232083466,-2.939891974306984e-05,-5.0075068591646816e-39
0.7145405150949955,0.4831222454085946,0.3104103561490774,0.7392613040283322,0.3451005704700947,0.16947280056774616,0.09436218906193972,0.6820592600852251,-1.424119875339478,-5.693376865186838e-32,-5.653954331063847e-15
0.5306631615385413,0.8366677043959498,0.017122003249824047,0.5101734641939402,0.4084957307204604,0.43008884601294994,0.8132452238351107,0.157738390378654,-1.4618008395434543,-4.133411336494266e-08,-6.9646948589560945e-28
0.35101122967898846,0.2884939946234226,0.879836305975914,0.008904513902962208,0.9089304460212588,0.6377738984301686,0.23115813825279474,0.6020218376070261,-1.654340554550524,-2.6817760721882886e-54,-8.84801545864689e-46
0.14524856489151716,0.6366455992683768,0.404805451631546,0.9434077451005578,0.5340355783700943,0.8255642503499985,0.58070098888129,0.8502473859116435,-1.4420088130995363,-5.557275580084193e-20,-3.6836028588465458e-84
0.9811606276780367,0.23849966377019882,0.5117147443816066,0.4428406413644552,0.033356260508298874,0.11729853134602308,0.4988580420613289,0.42123802937567234,-1.3362272595449851,-1.1770023132910113e-62,-0.31920920382848855
0.8814835473895073,0.9999191761016846,0.4901276780292392,0.12271879613399506,0.6308667482808232,0.23158223275095224,0.7765519805252552,0.19628870580345392,-0.017706936252186153,-1.4002223665097207,-7.307564956776516e-06
0.24869839195162058,0.3752413308247924,0.5943590179085732,0.6238911962136626,0.13178996834903955,0.9612971637398005,0.1789839630946517,0.5009829625487328,-1.4756786156084964,-6.254295783208334e-43,-8.558731067174172e-61
0.26315969601273537,0.5436760447919369,0.12003033608198166,0.42364395689219236,0.2564368788152933,0.523599243722856,0.5090958746150136,0.7654972681775689,-1.2806586434673441,-6.879755999879964e-27,-2.1158791904457805e-58
0.614688535220921,0.08147041033953428,0.9839576883241534,0.9245417527854443,0.756246542558074,0.29428020492196083,0.41128371469676495,0.443484328687191,-1.5334982689880554,-3.0324492298297823e-109,-1.7673170543290866e-21
0.6734857987612486,0.7240144098177552,0.6911879014223814,0.8259928403422236,0.9426717953756452,0.055376894772052765,0.6301448130980134,0.9665959412232041,-1.7711216144706086,-2.6247578927701945e-14,-1.8932698323154893e-17
0.44695699121803045,0.15106814913451672,0.3347068401053548,0.3268040902912617,0.44309181813150644,0.7634623749181628,0.29023476876318455,0.2697337567806244,-1.2269936110110897,-1.593136585951179e-82,-2.048970286283084e-35
0.05711509473621845,0.8029468255117536,0.8249969305470586,0.6266759410500526,0.068226994946599,0.7009171601384878,0.897600919008255,0.026284211315214634,-1.730958571282342,-7.999909877669232e-10,-1.2867574747396877e-124
0.8149002222344279,0.322151692584157,0.21258687786757946,0.12770076002925634,0.5675633233040571,0.49292216170579195,0.0579350171610713,0.7061327993869781,-1.463740105343001,-1.471043774460015e-49,-2.965018951354483e-09
